entry,at,order
"""Joel @ DdWeAYaTSY"" shows a 4♣, Q♣.",2023-03-01T05:05:19.003Z,167764711900300
"""qipanda @ ZzutxssYJ7"" shows a 2♣, 2♦.",2023-03-01T05:05:18.490Z,167764711849000
"-- ending hand #118 --",2023-03-01T05:05:17.278Z,167764711727802
"""qipanda @ ZzutxssYJ7"" collected 3.96 from pot",2023-03-01T05:05:17.278Z,167764711727801
"Uncalled bet of 4.00 returned to ""qipanda @ ZzutxssYJ7""",2023-03-01T05:05:17.278Z,167764711727800
"""Fred @ EWw5rDVNJX"" folds",2023-03-01T05:05:16.435Z,167764711643500
"""Joel @ DdWeAYaTSY"" folds",2023-03-01T05:05:15.509Z,167764711550900
"""matt2 @ m2Pee6egAx"" folds",2023-03-01T05:04:57.818Z,167764709781800
"""the giver x4 @ WuCshiDEpw"" folds",2023-03-01T05:04:43.821Z,167764708382100
"""Ayatollah Cum @ P89jLhJu-g"" folds",2023-03-01T05:04:42.923Z,167764708292300
"""dorothy @ wzpnFqlu9P"" folds",2023-03-01T05:04:22.798Z,167764706279800
"""qipanda @ ZzutxssYJ7"" raises to 4.04 and go all in",2023-03-01T05:04:18.986Z,167764705898600
"""Fred @ EWw5rDVNJX"" calls 0.04",2023-03-01T05:04:16.658Z,167764705665800
"""Joel @ DdWeAYaTSY"" calls 0.04",2023-03-01T05:04:11.967Z,167764705196700
"""matt2 @ m2Pee6egAx"" calls 0.04",2023-03-01T05:04:10.336Z,167764705033600
"""the giver x4 @ WuCshiDEpw"" calls 0.04",2023-03-01T05:04:08.419Z,167764704841900
"""Ayatollah Cum @ P89jLhJu-g"" bets 0.04",2023-03-01T05:04:06.610Z,167764704661000
"Flop:  [2♥, 6♥, 3♣]",2023-03-01T05:04:01.896Z,167764704189600
"""Fred @ EWw5rDVNJX"" calls 0.52",2023-03-01T05:04:00.986Z,167764704098600
"""Joel @ DdWeAYaTSY"" calls 0.52",2023-03-01T05:03:57.961Z,167764703796100
"""Andrew @ yhDVFE17BV"" folds",2023-03-01T05:03:51.032Z,167764703103200
"""matt2 @ m2Pee6egAx"" calls 0.52",2023-03-01T05:03:50.151Z,167764703015100
"""Juli @ 0vo6016l4H"" folds",2023-03-01T05:03:47.930Z,167764702793000
"""the giver x4 @ WuCshiDEpw"" calls 0.52",2023-03-01T05:03:45.059Z,167764702505900
"""Ayatollah Cum @ P89jLhJu-g"" calls 0.52",2023-03-01T05:03:42.240Z,167764702224000
"""dorothy @ wzpnFqlu9P"" calls 0.52",2023-03-01T05:03:40.420Z,167764702042000
"""qipanda @ ZzutxssYJ7"" raises to 0.52",2023-03-01T05:03:33.901Z,167764701390100
"""Fred @ EWw5rDVNJX"" calls 0.04",2023-03-01T05:03:12.072Z,167764699207200
"""Joel @ DdWeAYaTSY"" calls 0.04",2023-03-01T05:03:10.741Z,167764699074100
"""Andrew @ yhDVFE17BV"" calls 0.04",2023-03-01T05:03:07.916Z,167764698791600
"""matt2 @ m2Pee6egAx"" calls 0.04",2023-03-01T05:03:01.284Z,167764698128400
"""Juli @ 0vo6016l4H"" calls 0.04",2023-03-01T05:03:00.154Z,167764698015400
"The admin ""qipanda @ ZzutxssYJ7"" enqueued the game stop on next hand.",2023-03-01T05:02:59.688Z,167764697968800
"""the giver x4 @ WuCshiDEpw"" posts a big blind of 0.04",2023-03-01T05:02:55.646Z,167764697564612
"""Ayatollah Cum @ P89jLhJu-g"" posts a small blind of 0.02",2023-03-01T05:02:55.646Z,167764697564611
"Your hand is 8♣, K♥",2023-03-01T05:02:55.646Z,167764697564610
"Player stacks: #1 ""Joel @ DdWeAYaTSY"" (23.80) | #2 ""Fred @ EWw5rDVNJX"" (6.97) | #3 ""qipanda @ ZzutxssYJ7"" (4.56) | #4 ""dorothy @ wzpnFqlu9P"" (5.64) | #5 ""Ayatollah Cum @ P89jLhJu-g"" (4.60) | #6 ""the giver x4 @ WuCshiDEpw"" (11.48) | #8 ""Juli @ 0vo6016l4H"" (1.15) | #9 ""matt2 @ m2Pee6egAx"" (4.36) | #10 ""Andrew @ yhDVFE17BV"" (29.31)",2023-03-01T05:02:55.646Z,167764697564601
"-- starting hand #118 (id: omkloq8bjmnf)  (No Limit Texas Hold'em) (dealer: ""dorothy @ wzpnFqlu9P"") --",2023-03-01T05:02:55.646Z,167764697564600
