entry,at,order
"-- ending hand #110 --",2023-03-08T05:05:51.546Z,167825195154602
"""Jul @ EcMetVW6FI"" collected 2.32 from pot",2023-03-08T05:05:51.546Z,167825195154601
"Uncalled bet of 0.24 returned to ""Jul @ EcMetVW6FI""",2023-03-08T05:05:51.546Z,167825195154600
"""Fred @ EWw5rDVNJX"" folds",2023-03-08T05:05:50.661Z,167825195066100
"""Jul @ EcMetVW6FI"" bets 0.24",2023-03-08T05:05:48.651Z,167825194865100
"""Fred @ EWw5rDVNJX"" checks",2023-03-08T05:05:40.062Z,167825194006200
"River: J♥, 9♥, 4♦, J♣ [10♣]",2023-03-08T05:05:37.784Z,167825193778400
"""Fred @ EWw5rDVNJX"" calls 0.20",2023-03-08T05:05:36.965Z,167825193696500
"""Andrew @ yhDVFE17BV"" folds",2023-03-08T05:05:30.393Z,167825193039300
"""Jul @ EcMetVW6FI"" bets 0.20",2023-03-08T05:05:29.363Z,167825192936300
"""Fred @ EWw5rDVNJX"" checks",2023-03-08T05:05:24.699Z,167825192469900
"Turn: J♥, 9♥, 4♦ [J♣]",2023-03-08T05:05:22.298Z,167825192229800
"""Fred @ EWw5rDVNJX"" calls 0.24",2023-03-08T05:05:21.399Z,167825192139900
"""Andrew @ yhDVFE17BV"" calls 0.24",2023-03-08T05:05:19.983Z,167825191998300
"""Ayatollah cum @ kaPGto3RBb"" folds",2023-03-08T05:05:01.569Z,167825190156900
"""Jul @ EcMetVW6FI"" bets 0.24",2023-03-08T05:05:00.192Z,167825190019200
"""Fred @ EWw5rDVNJX"" checks",2023-03-08T05:04:54.739Z,167825189473900
"Flop:  [J♥, 9♥, 4♦]",2023-03-08T05:04:52.122Z,167825189212200
"""qipanda @ ZzutxssYJ7"" folds",2023-03-08T05:04:51.273Z,167825189127300
"""Joel @ DdWeAYaTSY"" folds",2023-03-08T05:04:50.175Z,167825189017500
"""Andrew @ yhDVFE17BV"" calls 0.28",2023-03-08T05:04:49.202Z,167825188920200
"""Ayatollah cum @ kaPGto3RBb"" calls 0.28",2023-03-08T05:04:45.991Z,167825188599100
"""Jul @ EcMetVW6FI"" calls 0.28",2023-03-08T05:04:25.668Z,167825186566800
"""Fred @ EWw5rDVNJX"" raises to 0.28",2023-03-08T05:04:19.140Z,167825185914000
"""qipanda @ ZzutxssYJ7"" calls 0.04",2023-03-08T05:04:15.970Z,167825185597000
"The admin ""qipanda @ ZzutxssYJ7"" enqueued the game stop on next hand.",2023-03-08T05:04:09.633Z,167825184963300
"""the giver x2 @ RSraeqmOQa"" folds",2023-03-08T05:04:05.619Z,167825184561900
"The admin ""qipanda @ ZzutxssYJ7"" canceled the game stop on next hand.",2023-03-08T05:03:55.356Z,167825183535600
"""Joel @ DdWeAYaTSY"" calls 0.04",2023-03-08T05:03:44.698Z,167825182469800
"""Andrew @ yhDVFE17BV"" calls 0.04",2023-03-08T05:03:43.308Z,167825182330800
"""Ayatollah cum @ kaPGto3RBb"" calls 0.04",2023-03-08T05:03:37.716Z,167825181771600
"""Jul @ EcMetVW6FI"" calls 0.04",2023-03-08T05:03:26.162Z,167825180616200
"The admin ""qipanda @ ZzutxssYJ7"" enqueued the game stop on next hand.",2023-03-08T05:03:24.337Z,167825180433700
"""Fred @ EWw5rDVNJX"" posts a big blind of 0.04",2023-03-08T05:03:21.765Z,167825180176510
"""qipanda @ ZzutxssYJ7"" posts a small blind of 0.02",2023-03-08T05:03:21.765Z,167825180176509
"Your hand is 9♣, 10♠",2023-03-08T05:03:21.765Z,167825180176505
"Player stacks: #1 ""Fred @ EWw5rDVNJX"" (3.86) | #2 ""Jul @ EcMetVW6FI"" (3.86) | #3 ""Ayatollah cum @ kaPGto3RBb"" (9.16) | #6 ""Andrew @ yhDVFE17BV"" (17.64) | #8 ""Joel @ DdWeAYaTSY"" (19.09) | #9 ""the giver x2 @ RSraeqmOQa"" (4.09) | #10 ""qipanda @ ZzutxssYJ7"" (7.30)",2023-03-08T05:03:21.765Z,167825180176501
