entry,at,order
"""qipanda @ ZzutxssYJ7"" shows a J♥, Q♣.",2023-03-22T04:02:18.177Z,167945773817700
"Undealt cards: 3♣, 2♦, 5♠, 9♣ [J♠]",2023-03-22T04:02:17.277Z,167945773727700
"""Danial @ kMYSUvj9gu"" shows a 10♦, 10♥.",2023-03-22T04:02:16.474Z,167945773647400
"""Fred @ EWw5rDVNJX"" shows a 8♣, A♦.",2023-03-22T04:02:16.117Z,167945773611700
"""Dorothy @ wzpnFqlu9P"" shows a 4♦, A♣.",2023-03-22T04:02:15.561Z,167945773556100
"-- ending hand #115 --",2023-03-22T04:02:14.982Z,167945773498202
"""Danial @ kMYSUvj9gu"" collected 3.76 from pot",2023-03-22T04:02:14.982Z,167945773498201
"Uncalled bet of 1.92 returned to ""Danial @ kMYSUvj9gu""",2023-03-22T04:02:14.982Z,167945773498200
"""qipanda @ ZzutxssYJ7"" folds",2023-03-22T04:02:14.158Z,167945773415800
"""sunny @ WuCshiDEpw"" folds",2023-03-22T04:02:08.846Z,167945772884600
"""Fred @ EWw5rDVNJX"" folds",2023-03-22T04:02:07.773Z,167945772777300
"""Danial @ kMYSUvj9gu"" bets 1.92 and go all in",2023-03-22T04:02:04.044Z,167945772404400
"Turn: 3♣, 2♦, 5♠ [9♣]",2023-03-22T04:01:58.060Z,167945771806000
"""qipanda @ ZzutxssYJ7"" calls 0.48",2023-03-22T04:01:57.185Z,167945771718500
"""sunny @ WuCshiDEpw"" calls 0.48",2023-03-22T04:01:41.948Z,167945770194800
"""Fred @ EWw5rDVNJX"" calls 0.48",2023-03-22T04:01:22.247Z,167945768224700
"""Danial @ kMYSUvj9gu"" bets 0.48",2023-03-22T04:01:17.092Z,167945767709200
"Flop:  [3♣, 2♦, 5♠]",2023-03-22T04:01:06.453Z,167945766645300
"""qipanda @ ZzutxssYJ7"" calls 0.44",2023-03-22T04:01:05.625Z,167945766562500
"""sunny @ WuCshiDEpw"" calls 0.44",2023-03-22T04:00:57.637Z,167945765763700
"""Fred @ EWw5rDVNJX"" calls 0.44",2023-03-22T04:00:49.218Z,167945764921800
"""Joel @ DdWeAYaTSY"" folds",2023-03-22T04:00:48.072Z,167945764807200
"""Dorothy @ wzpnFqlu9P"" folds",2023-03-22T04:00:47.126Z,167945764712600
"""Danial @ kMYSUvj9gu"" raises to 0.44",2023-03-22T04:00:23.160Z,167945762316000
"""Andrew @ yhDVFE17BV"" folds",2023-03-22T04:00:16.990Z,167945761699000
"""qipanda @ ZzutxssYJ7"" calls 0.18",2023-03-22T04:00:05.973Z,167945760597300
"""sunny @ WuCshiDEpw"" calls 0.18",2023-03-22T04:00:02.018Z,167945760201800
"""Fred @ EWw5rDVNJX"" raises to 0.18",2023-03-22T03:59:55.993Z,167945759599300
"""Joel @ DdWeAYaTSY"" calls 0.04",2023-03-22T03:59:51.003Z,167945759100300
"The admin ""qipanda @ ZzutxssYJ7"" enqueued the game stop on next hand.",2023-03-22T03:59:49.903Z,167945758990300
"""Dorothy @ wzpnFqlu9P"" posts a big blind of 0.04",2023-03-22T03:59:47.658Z,167945758765811
"""Danial @ kMYSUvj9gu"" posts a small blind of 0.02",2023-03-22T03:59:47.658Z,167945758765810
"Your hand is 9♦, 7♠",2023-03-22T03:59:47.658Z,167945758765805
"Player stacks: #3 ""sunny @ WuCshiDEpw"" (17.95) | #5 ""qipanda @ ZzutxssYJ7"" (9.06) | #6 ""Andrew @ yhDVFE17BV"" (9.94) | #7 ""Danial @ kMYSUvj9gu"" (2.84) | #8 ""Dorothy @ wzpnFqlu9P"" (2.79) | #9 ""Joel @ DdWeAYaTSY"" (4.36) | #10 ""Fred @ EWw5rDVNJX"" (9.61)",2023-03-22T03:59:47.658Z,167945758765802
"-- starting hand #115 (id: lofhwkvace8x)  (No Limit Texas Hold'em) (dealer: ""Andrew @ yhDVFE17BV"") --",2023-03-22T03:59:47.658Z,167945758765801
"The player ""Juls @ dmawfvSpk0"" quits the game with a stack of 0.00.",2023-03-22T03:59:47.658Z,167945758765800
"""Joel @ DdWeAYaTSY"" shows a 3♥, 2♣.",2023-03-22T03:59:42.388Z,167945758238800
"-- ending hand #114 --",2023-03-22T03:59:41.137Z,167945758113703
"""Juls @ dmawfvSpk0"" shows a 7♣, 7♦.",2023-03-22T03:59:41.137Z,167945758113702
"""Fred @ EWw5rDVNJX"" collected 3.76 from pot with Pair, A's (combination: A♦, A♣, K♥, Q♥, 9♣)",2023-03-22T03:59:41.137Z,167945758113701
"""Fred @ EWw5rDVNJX"" shows a A♦, Q♥.",2023-03-22T03:59:41.137Z,167945758113700
"""Juls @ dmawfvSpk0"" calls 0.41 and go all in",2023-03-22T03:59:40.253Z,167945758025300
"""Fred @ EWw5rDVNJX"" bets 0.41",2023-03-22T03:59:36.691Z,167945757669100
"River: K♥, 9♣, A♣, 5♦ [4♣]",2023-03-22T03:59:33.131Z,167945757313100
"""Juls @ dmawfvSpk0"" checks",2023-03-22T03:59:32.271Z,167945757227100
"""Fred @ EWw5rDVNJX"" checks",2023-03-22T03:59:26.885Z,167945756688500
"Turn: K♥, 9♣, A♣ [5♦]",2023-03-22T03:59:25.306Z,167945756530600
"""Andrew @ yhDVFE17BV"" folds",2023-03-22T03:59:24.498Z,167945756449800
"""Juls @ dmawfvSpk0"" calls 0.98",2023-03-22T03:59:23.505Z,167945756350500
"""Fred @ EWw5rDVNJX"" bets 0.98",2023-03-22T03:59:20.405Z,167945756040500
"""Andrew @ yhDVFE17BV"" checks",2023-03-22T03:59:16.963Z,167945755696300
